nom_commune,conso_totale_mwh,conso_moy_site_mwh,conso_moy_commune_mwh,nb_logements,classe_conso
CHEVINAY,166.02100000000002,2.3715714285714284,6.941,70,élevée
CHÂTILLON,88.621,1.477,6.859999999999999,60,élevée
CIVRIEUX-D'AZERGUES,1028.3609999999999,5.475090909090909,6.970363636363637,165,élevée
COGNY,117.924,5.896000000000001,6.622999999999999,20,élevée
COLLONGES-AU-MONT-D'OR,16986.522,4.998477272727272,6.904268181818182,4115,élevée
COLOMBIER-SAUGNIEU,368.248,2.3977500000000003,6.72675,159,élevée
COMMUNAY,3486.368,2.632837837837838,5.837891891891892,1389,faible
CONDRIEU,7453.85,2.4824375,4.8546971153846155,2885,faible
CORBAS,20372.064,2.133369337979094,4.4580191637630655,9383,très faible
COURS,605.494,1.536,3.9185769230769227,397,très faible
COURZIEU,742.54,6.7925,6.5553333333333335,109,moyenne
COUZON-AU-MONT-D'OR,3830.002,3.175049382716049,5.338,1364,faible
CRAPONNE,44297.122,3.1246232294617564,4.796570821529745,15416,faible
CREPIEUX-LA-PAPE,16042.023,2.082671568627451,3.2260000000000004,7913,très faible
CURIS-AU-MONT-D'OR,1104.493,3.7114074074074073,6.390925925925926,291,moyenne
DARDILLY,11740.618,3.248814479638009,7.509542986425339,3831,très élevée
DECINES-CHARPIEU,18220.751,2.5072512953367876,3.7269999999999994,7583,très faible
DENICÉ,176.169,5.872,7.300333333333334,30,très élevée
DOMMARTIN,3903.355,4.2861515151515155,8.368575757575758,882,très élevée
DÉCINES-CHARPIEU,104439.224,2.340216910137229,3.509568835768039,46842,très faible
ECHALAS,312.33500000000004,6.733,7.256,42,très élevée
ECULLY,11523.35,2.866475308641975,4.185,4573,très faible
FEYZIN,27032.229,2.4840311203319505,4.237775933609958,11334,très faible
FLEURIEU-SUR-SAONE,198.804,3.6945,6.161,54,moyenne
FLEURIEU-SUR-SAÔNE,1466.74,3.2575405405405404,5.992162162162162,455,moyenne
FLEURIEUX-SUR-L'ARBRESLE,1964.835,3.3356666666666666,7.186,628,très élevée
FONTAINES-SAINT-MARTIN,4630.319,3.6445890410958905,6.289575342465754,1575,moyenne
FONTAINES-SUR-SAONE,5467.889,2.465636363636364,3.254,2333,très faible
FONTAINES-SUR-SAÔNE,32206.473,2.501396468699839,3.1203804173354737,13716,très faible
FRANCHEVILLE,59388.312,3.004761336515513,4.574738663484487,20980,faible
FRONTENAS,49.702,4.97,7.48,10,très élevée
GENAS,16396.683,2.7650790190735695,6.300133514986376,5910,moyenne
GENAY,13754.444,3.0512125603864733,5.1805942028985505,4948,faible
GIVORS,57511.204,2.090658380681818,3.451582386363636,27387,très faible
GLEIZE,2877.361,2.8589508196721307,4.72,996,faible
GLEIZÉ,17680.091,2.58844696969697,4.392441919191919,6845,très faible
GREZIEU-LA-VARENNE,2423.785,3.5704375,6.224,685,moyenne
GRIGNY,27606.655,2.7166617021276593,4.102897872340426,10582,très faible
GRÉZIEU-LA-VARENNE,15002.282,3.410629268292683,6.004975609756097,4353,moyenne
IRIGNY,30241.314,3.3215192697768763,4.981651115618662,8806,faible
JONAGE,3644.766,3.3040000000000003,6.601416666666667,1289,élevée
L'ARBRESLE,19037.208,3.135552486187845,4.60617955801105,6353,faible
LA MULATIÈRE,36867.056,2.6879224924012157,2.889817629179331,14758,très faible
LA TOUR-DE-SALVAGNY,5459.158,2.806256,6.808536,2110,élevée
LACENAS,179.934,1.11875,6.9695,158,élevée
LACHASSAGNE,422.34000000000003,4.351111111111111,7.898111111111111,98,très élevée
LANCIE,57.776,4.815,6.935,12,élevée
LANCIÉ,312.819,4.344666666666666,6.881166666666666,72,élevée
LANTIGNIÉ,41.966,1.399,6.413666666666667,30,moyenne
LARAJASSE,101.408,10.141,6.107,10,moyenne
LE PERRÉON,171.368,1.479,6.895166666666667,116,élevée
LENTILLY,10273.535,3.387361290322581,7.000206451612903,4298,élevée
LES CHÈRES,2297.554,4.35815625,6.64884375,600,élevée
LIMAS,8465.64,2.562512096774194,5.035983870967742,3438,faible
LIMONEST,6591.646,2.6878474576271185,7.269042372881357,2681,très élevée
LISSIEU,3372.144,2.989492307692308,6.400338461538461,1158,moyenne
LOIRE-SUR-RHONE,200.512,2.763,6.198,63,moyenne
LOIRE-SUR-RHÔNE,1302.335,3.1054583333333334,5.962,398,moyenne
LOZANNE,6203.349,2.489368,4.9958800000000005,2856,faible
LUCENAY,2160.682,4.993666666666667,6.765466666666667,464,élevée
LYON,4625179.762,2.8974035181034155,2.8978071628484225,1669231,très faible
LÉGNY,115.737,10.522,8.003,11,très élevée
LÉTRA,143.59,3.779,5.8145,38,faible
MARCILLY-D'AZERGUES,177.968,1.5890000000000002,7.316857142857144,112,très élevée
MARCY,277.227,7.901666666666666,7.914999999999999,35,très élevée
MARCY-L'ETOILE,811.234,1.9644615384615385,5.209,390,faible
MARCY-L'ÉTOILE,5671.6720000000005,2.0148522727272726,5.095056818181818,2597,faible
MARENNES,2961.367,7.282260869565217,7.259260869565217,364,très élevée
MESSIMY,6753.037,4.321148648648649,6.226243243243243,1276,moyenne
MEYZIEU,104068.399,2.805480631276901,4.571944524151124,40062,faible
MILLERY,9873.977,3.9385797101449276,6.765666666666667,2497,élevée
MIONS,21231.367,2.8783666666666665,5.26506875,8078,faible
MONTAGNY,1026.782,2.0384857142857142,7.234085714285714,546,très élevée
MONTANAY,2294.097,3.1531999999999996,6.838000000000001,819,élevée
MORANCE,241.16,5.05025,7.44,47,très élevée
MORANCÉ,1561.885,4.1174193548387095,6.792903225806452,372,élevée
MORNANT,11663.301,2.8870198412698413,5.121674603174603,3888,faible
MULATIERE,6866.525,2.7433174603174604,2.945,2674,très faible
NEUVILLE-SUR-SAONE,3427.494,2.6127333333333334,3.455,1340,très faible
